Method,Test_Size,MAE
IDW,0.5,13.076224739601374
Krig,0.5,12.277277875581923
Ensemble,0.5,10.82640718759511
Transformer,0.5,106.98418972332016
IDW,0.5,3.7883995672925335
Krig,0.5,3.324058932807134
Ensemble,0.5,3.765233445605768
Transformer,0.5,13.312252964426877
IDW,0.5,6.603049651827437
Krig,0.5,6.156102064898613
Ensemble,0.5,6.324365044442797
Transformer,0.5,6.363636363636363
IDW,0.5,17.757377269710318
Krig,0.5,16.958430405690862
Ensemble,0.5,15.507559717704053
Transformer,0.5,17.993405494535814
