Test Size,RSRP-MAE,RSRQ-MAE,SINR-MAE
0.1,2.3296853115684106,0.8900886962288305,1.3160826864472606
0.2,2.0933631049262154,0.9085455458841206,1.403615813481587
0.3,2.2517527779616877,0.8085054192839369,1.343743834355162
0.4,1.8933904798407304,0.761400370221389,1.1645661502292282
0.5,2.191750598048033,0.794085687328233,1.1512089498311635
0.1,1.9247405403538753,0.7063886931068019,1.151475730785087
0.2,2.1495209682134933,0.7516508302570861,1.2628483912091197
0.3,2.498926949366338,0.9983011504351083,1.6175516695836507
0.4,2.138178775185033,0.8036343016122517,1.212017324213919
0.5,1.7675884382526865,0.6779667888234255,0.9804842670267749
0.1,2.3972042317976032,0.9035594682944449,1.496666420251131
0.2,2.3887509004569347,0.8496201668256594,1.1998106016053094
0.3,2.0951572569076626,0.6923792847132278,1.05386832978387
0.4,1.849204464962608,0.6721834101175007,1.1116154803281748
0.5,2.2146152300325777,0.763162222775546,1.3190415104622897
0.1,2.0127484171014083,0.8491620379581786,1.3218849200199831
0.2,1.7838579719449268,0.7459610138410403,1.06870069452274
0.3,1.9782361391573975,0.6657436055652166,1.054870003702824
0.4,1.7975249039499384,0.7274693956500605,1.2820909199500947
0.5,2.245397334042274,0.847666178767389,1.2358501965231574
0.1,1.9865965090299909,0.8987570112211662,1.3948528246398557
0.2,2.307365944944782,0.8168918209311403,1.252118202013734
0.3,2.6440463955119506,1.2184952302167644,1.8783656549350607
0.4,2.196641294579757,0.7832517278821844,1.2581945143051838
0.5,2.3457740210732925,1.0191810800152805,1.6625094007950998
